
(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 3

(127.0.0.1 , 5000) said : 6

(127.0.0.1 , 5000) said : hello

(127.0.0.1 , 5000) said : exit

(127.0.0.1 , 5000) said : exit

(127.0.0.1 , 5000) said : eit

(127.0.0.1 , 5000) said : exit

(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 2

(127.0.0.1 , 5000) said : 3

(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 2

(127.0.0.1 , 5000) said : 3

(127.0.0.1 , 5000) said : 1

(127.0.0.1 , 5000) said : 3

(127.0.0.1 , 5000) said : 1
